<código docente>;<titulo da publicacao>;<qualificada?>
001;Publicacao A;
001;Publicacao B;
001;Publicacao C;X
001;Publicacao D;X
001;Publicacao E;
001;Publicacao F;X
009;Publicacao G;X
002;Publicacao H;
002;Publicacao I;
002;Publicacao J;X
002;Publicacao K;
002;Publicacao L;
003;Publicacao M;X
003;Publicacao N;
003;Publicacao O;
003;Publicacao P;X
003;Publicacao Q;
003;Publicacao R;X
004;Publicacao S;
004;Publicacao T;
004;Publicacao U;X
004;Publicacao V;
004;Publicacao W;X
004;Publicacao X;
005;Publicacao Y;X
005;Publicacao Z;
005;Publicacao AA;X
005;Publicacao AB;X
005;Publicacao AC;X
005;Publicacao AD;X
