<código>;<nome>;<código docente>;<carga horária semanal>;<carga horaria semestral>;<código do curso>
ELE08496;Eletronica Basica;1002;5;75;176
FIL00428;Introducao a Filosofia;3021;4;60;109
AID03935;Grafica avancada;4005;4;60;312
AID01512;Fotografia 1;4005;5;75;194
ART03934;Cor;4011;4;60;100
DAV04965;Litografia;4005;4;60;240
PSI00764;Psicologia da Educacao;3021;4;60;307
ELE08494;Eletricidade Aplicada;1001;5;75;184
DAV04963;Escultura 3;4011;3;45;159
INF09269;Algoritmos Numericos;1002;4;60;103
LET02630;Lingua Portuguesa;3021;4;60;134
PSO09856;Psicologia Aplicada ao Direito;3021;5;75;144
MAT09570;Calculo 1;2003;6;90;175
DAV04966;Gravura em Metal;4011;4;60;154
DID02503;Didatica B;3021;4;60;105
MAT09574;Calculo 2;2003;6;90;114
MAT01924;Variaveis Complexas;2003;5;75;222
TEP12870;Educacao das Relacoes Etnico-Raciais;3021;5;75;256
DAV05083;Plastica;4005;6;90;159
INF09281;Compiladores;1002;4;60;103
MAT06195;Matematica;2003;5;75;134
PSI00759;Psicologia 1;3021;4;60;144
MAT06579;Algebra Linear;2003;4;60;175
FIL03779;Filosofia e Etica;3021;4;60;256
AID03928;Projetoo 1;4011;4;60;159
PSO11840;Psicologia e Projetos Sociais;3021;4;60;100
DTA04978;Artes da Performance;4011;4;60;240
PSO10279;Processos Basicos 1;3021;4;60;307
INF09274;Arquitetura de Computadores;1002;5;75;184
DAV05834;Gravura;4005;4;60;154
CSO00184;Antropologia 1;3021;4;60;105
MAT06567;Analise 1;2003;6;90;114
COM06851;Matematica Discreta;2003;5;75;222
